Order,Milestone,Ticket ID,Title,Objective,In Scope,Out of Scope,Dependencies,Priority,Size,Status,Owner,Started,Completed,Acceptance Criteria,Expected Tests,Manual Verification,Notes
1,M0 — Specification,T0.1,Repository documentation structure,Create the agreed repository documentation layout and replace codex.md with AGENTS.md.,README.md; AGENTS.md; docs directory; internal links.,Application code or dependency installation.,None,P0,S,DONE,,,,All agreed Markdown files exist; links resolve; obsolete codex.md is absent.,Link/path validation script or manual path check.,Open each Markdown file and follow its main links.,
2,M0 — Specification,T0.2,Requirements specification,Record the agreed functional and non-functional requirements as the source of truth.,Workflow; job fields; assessment; CV generation; French path; upload path; tracking; exclusions.,Detailed implementation code.,T0.1,P0,S,DONE,,,,Requirements cover every agreed workflow step and explicitly exclude automatic submission.,Documentation review only.,Compare the document with the approved conversation decisions.,
3,M0 — Specification,T0.3,Screen specification,"Document the Jobs dashboard, Job Details tabs, Background Runs and Settings screens.",Fields; filters; table actions; direct DOCX opening; approval actions.,Visual design system or advanced mock-ups.,"T0.1,T0.2",P0,S,DONE,,,,Every user action is assigned to a screen and no required action is missing.,Documentation review only.,Walk through the four principal user journeys.,
4,M0 — Specification,T0.4,Architecture and ADRs,Record the chosen stack and the main technical decisions.,Streamlit; SQLite; OpenAI; DOCX; sequential default; hybrid document handling; local Word editing.,Detailed class design.,"T0.1,T0.2",P0,S,DONE,,,,Architecture and decision records are consistent and reference the requirements.,Documentation review only.,Check each decision against the agreed constraints.,
5,M0 — Specification,T0.5,GitHub-led backlog and ticket workflow,Establish GitHub Issues as the operational source of truth while retaining a tracked CSV overview and concise repository roadmap.,GitHub issues and milestones; ticket IDs; dependencies; acceptance criteria; implementation-backlog.csv; PowerShell importer; roadmap; Codex workflow.,Detailed ticket specifications duplicated in Markdown; Excel tracker; implementing backlog tickets.,T0.1-T0.4,P0,S,DONE,,,,Every CSV ticket has one canonical GitHub issue; CSV and GitHub IDs match; the roadmap identifies GitHub as source of truth; the importer supports dry runs repeat execution and suffixed IDs; the Excel tracker is absent.,Offline importer tests; CSV duplicate-ID check; CSV-to-GitHub ID comparison; documentation link check.,Open the roadmap and GitHub links; filter issues by milestone priority size and status.,
6,M1 — Foundation,T1.1,Python project scaffold,Create a minimal installable Python project with a working Streamlit entry point.,pyproject.toml; src package; tests; pytest; Ruff; basic app entry.,Database models or functional pages.,T0.5,P0,S,TODO,,,,Project installs; Streamlit starts; empty test suite and Ruff checks run successfully.,Smoke test for imports and app entry.,Run the documented start command.,
6.1,M1 — Foundation,T1.1A,PowerShell developer task runner,Provide one PowerShell entry point for common local development commands.,Root-level dev.ps1; env target; activate target; test target; lint target; ui target; help output; prerequisite errors; README and AGENTS commands.,Starting the background worker; starting UI and worker together; GNU Make support; Linux/macOS support; packaging or installation.,T1.1,P0,S,TODO,,,,The task runner creates and activates .venv; runs pytest and Ruff; starts Streamlit; displays help; fails clearly when prerequisites are missing; supported commands are documented.,PowerShell command-routing and failure-path tests.,Run each target on Windows and confirm help and prerequisite errors.,Keep worker and combined launcher work under later tickets.
7,M1 — Foundation,T1.2,Typed application configuration,Implement environment-based settings with safe defaults.,Database path; CV folder; OpenAI key; worker counts; defaults for source/location/language.,Settings UI.,T1.1,P0,S,TODO,,,,Configuration loads from environment; defaults are documented; invalid values fail clearly.,"Unit tests for defaults, overrides and invalid worker counts.",Start with and without a local .env file.,
8,M1 — Foundation,T1.3,Local directory management,Create and validate the required private local directories.,database; reference assets; generated CVs; uploaded CVs; logs; gitignore rules.,File upload UI.,T1.2,P0,XS,TODO,,,,Directories are created idempotently and private paths are ignored by Git.,Unit test for idempotent directory creation.,Delete a test directory and restart the app.,
9,M1 — Foundation,T1.4,SQLite connection and migrations,Provide database sessions and a controlled migration mechanism.,SQLAlchemy/SQLModel engine; sessions; migration bootstrap; health check.,Domain tables beyond migration metadata.,"T1.1,T1.2,T1.3",P0,M,TODO,,,,A new database can be created; a health check succeeds; migrations are repeatable.,Integration tests against a temporary SQLite database.,Start twice and confirm no duplicate schema errors.,
